ticket_id,failed_transaction_count,estimated_financial_loss,affected_region
TKT-10001,4607,41680.23,Harare
TKT-10002,0,0.0,None
TKT-10003,7478,61158.24,Mutare
TKT-10004,0,0.0,None
TKT-10005,0,0.0,None
TKT-10006,0,0.0,None
TKT-10007,4421,39094.87,Mutare
TKT-10008,0,0.0,None
TKT-10009,0,0.0,None
TKT-10010,0,0.0,None
TKT-10011,0,0.0,None
TKT-10012,0,0.0,None
TKT-10013,0,0.0,None
TKT-10014,9066,49768.2,Harare
TKT-10015,4395,42335.23,Digital-All
TKT-10016,0,0.0,None
TKT-10017,0,0.0,None
TKT-10018,0,0.0,None
TKT-10019,0,0.0,None
TKT-10020,0,0.0,None
TKT-10021,0,0.0,None
TKT-10022,0,0.0,None
TKT-10023,0,0.0,None
TKT-10024,6317,59132.39,Digital-All
TKT-10025,8835,58803.55,Harare
TKT-10026,0,0.0,None
TKT-10027,0,0.0,None
TKT-10028,0,0.0,None
TKT-10029,0,0.0,None
TKT-10030,0,0.0,None
TKT-10031,0,0.0,None
TKT-10032,0,0.0,None
TKT-10033,0,0.0,None
TKT-10034,0,0.0,None
TKT-10035,9933,94254.8,Digital-All
TKT-10036,0,0.0,None
TKT-10037,8887,46749.42,Mutare
TKT-10038,0,0.0,None
TKT-10039,0,0.0,None
TKT-10040,1779,12751.19,Mutare
TKT-10041,0,0.0,None
TKT-10042,0,0.0,None
TKT-10043,0,0.0,None
TKT-10044,0,0.0,None
TKT-10045,5962,35159.15,Harare
TKT-10046,0,0.0,None
TKT-10047,0,0.0,None
TKT-10048,0,0.0,None
TKT-10049,0,0.0,None
TKT-10050,9375,90055.9,Digital-All
TKT-10051,0,0.0,None
TKT-10052,0,0.0,None
TKT-10053,0,0.0,None
TKT-10054,4769,34291.88,Digital-All
TKT-10055,0,0.0,None
TKT-10056,6848,45877.33,Mutare
TKT-10057,3962,31137.31,Bulawayo
TKT-10058,0,0.0,None
TKT-10059,8792,60665.21,Mutare
TKT-10060,1696,42341.55,Mutare
TKT-10061,3995,29915.9,Bulawayo
TKT-10062,0,0.0,None
TKT-10063,4547,22919.11,Harare
TKT-10064,0,0.0,None
TKT-10065,0,0.0,None
TKT-10066,6042,32938.05,Digital-All
TKT-10067,0,0.0,None
TKT-10068,0,0.0,None
TKT-10069,0,0.0,None
TKT-10070,1551,12894.77,Harare
TKT-10071,0,0.0,None
TKT-10072,1912,16688.56,Digital-All
TKT-10073,0,0.0,None
TKT-10074,0,0.0,None
TKT-10075,0,0.0,None
TKT-10076,0,0.0,None
TKT-10077,0,0.0,None
TKT-10078,0,0.0,None
TKT-10079,0,0.0,None
TKT-10080,0,0.0,None
TKT-10081,0,0.0,None
TKT-10082,0,0.0,None
TKT-10083,6893,44443.14,Digital-All
TKT-10084,0,0.0,None
TKT-10085,3282,19257.12,Bulawayo
TKT-10086,0,0.0,None
TKT-10087,0,0.0,None
TKT-10088,0,0.0,None
TKT-10089,6397,45059.49,Mutare
TKT-10090,0,0.0,None
TKT-10091,0,0.0,None
