ticket_id,sla_limit_hours,resolution_hours,sla_breached,first_response_minutes,uptime_impact_minutes
TKT-10001,8,0.35,0.0,16.0,77.0
TKT-10002,24,42.86,1.0,46.0,0.0
TKT-10003,4,0.27,0.0,31.0,94.0
TKT-10004,72,27.34,0.0,119.0,0.0
TKT-10005,72,115.92,1.0,70.0,0.0
TKT-10006,72,71.71,0.0,21.0,0.0
TKT-10007,8,3.75,0.0,34.0,170.0
TKT-10008,72,21.53,0.0,78.0,0.0
TKT-10009,4,,,,42.0
TKT-10010,72,,,,0.0
TKT-10011,24,15.57,0.0,55.0,0.0
TKT-10012,24,20.56,0.0,13.0,0.0
TKT-10013,8,0.86,0.0,55.0,133.0
TKT-10014,8,3.6,0.0,54.0,91.0
TKT-10015,8,,,,261.0
TKT-10016,4,3.78,0.0,72.0,167.0
TKT-10017,72,16.99,0.0,19.0,0.0
TKT-10018,24,9.52,0.0,82.0,0.0
TKT-10019,24,3.25,0.0,45.0,0.0
TKT-10020,72,9.74,0.0,18.0,0.0
TKT-10021,72,60.85,0.0,16.0,0.0
TKT-10022,72,114.51,1.0,109.0,0.0
TKT-10023,72,47.99,0.0,46.0,0.0
TKT-10024,4,1.36,0.0,112.0,243.0
TKT-10025,4,1.61,0.0,37.0,30.0
TKT-10026,72,24.92,0.0,95.0,0.0
TKT-10027,72,104.22,1.0,43.0,0.0
TKT-10028,72,27.32,0.0,91.0,0.0
TKT-10029,8,1.77,0.0,59.0,271.0
TKT-10030,72,10.68,0.0,10.0,0.0
TKT-10031,24,20.58,0.0,107.0,0.0
TKT-10032,72,71.03,0.0,73.0,0.0
TKT-10033,24,20.09,0.0,37.0,0.0
TKT-10034,72,49.93,0.0,86.0,0.0
TKT-10035,8,25.53,1.0,92.0,257.0
TKT-10036,24,23.44,0.0,66.0,0.0
TKT-10037,8,2.65,0.0,93.0,120.0
TKT-10038,8,4.95,0.0,32.0,147.0
TKT-10039,72,74.21,1.0,41.0,0.0
TKT-10040,8,3.44,0.0,48.0,157.0
TKT-10041,24,21.99,0.0,94.0,0.0
TKT-10042,72,,,,0.0
TKT-10043,72,106.84,1.0,61.0,0.0
TKT-10044,72,38.22,0.0,54.0,0.0
TKT-10045,8,2.26,0.0,73.0,230.0
TKT-10046,72,73.58,1.0,38.0,0.0
TKT-10047,24,,,,0.0
TKT-10048,72,31.89,0.0,104.0,0.0
TKT-10049,8,4.41,0.0,23.0,128.0
TKT-10050,8,4.35,0.0,79.0,273.0
TKT-10051,72,74.87,1.0,55.0,0.0
TKT-10052,24,15.61,0.0,110.0,0.0
TKT-10053,24,11.89,0.0,81.0,0.0
TKT-10054,4,29.37,1.0,77.0,155.0
TKT-10055,24,2.32,0.0,119.0,0.0
TKT-10056,8,1.23,0.0,27.0,184.0
TKT-10057,8,2.79,0.0,68.0,168.0
TKT-10058,72,2.76,0.0,63.0,0.0
TKT-10059,4,41.73,1.0,35.0,191.0
TKT-10060,8,7.28,0.0,120.0,227.0
TKT-10061,8,3.31,0.0,83.0,62.0
TKT-10062,72,11.44,0.0,56.0,0.0
TKT-10063,8,4.56,0.0,71.0,298.0
TKT-10064,8,1.58,0.0,34.0,229.0
TKT-10065,72,56.57,0.0,106.0,0.0
TKT-10066,8,0.69,0.0,92.0,75.0
TKT-10067,72,83.99,1.0,8.0,0.0
TKT-10068,24,26.75,1.0,120.0,0.0
TKT-10069,24,19.94,0.0,76.0,0.0
TKT-10070,8,,,,125.0
TKT-10071,72,58.48,0.0,32.0,0.0
TKT-10072,8,6.25,0.0,73.0,15.0
TKT-10073,24,21.73,0.0,81.0,0.0
TKT-10074,72,10.75,0.0,20.0,0.0
TKT-10075,24,21.24,0.0,53.0,0.0
TKT-10076,72,6.79,0.0,16.0,0.0
TKT-10077,24,8.47,0.0,71.0,0.0
TKT-10078,24,23.29,0.0,99.0,0.0
TKT-10079,72,113.88,1.0,70.0,0.0
TKT-10080,24,17.27,0.0,94.0,0.0
TKT-10081,72,29.84,0.0,30.0,0.0
TKT-10082,24,1.4,0.0,29.0,0.0
TKT-10083,8,49.5,1.0,10.0,15.0
TKT-10084,72,,,,0.0
TKT-10085,8,38.76,1.0,66.0,66.0
TKT-10086,72,63.43,0.0,79.0,0.0
TKT-10087,24,7.49,0.0,57.0,0.0
TKT-10088,72,,,,0.0
TKT-10089,4,38.26,1.0,119.0,162.0
TKT-10090,8,3.12,0.0,34.0,257.0
TKT-10091,72,,,,0.0
TKT-10092,8,23.52,1.0,114.0,109.0
TKT-10093,8,1.3,0.0,26.0,211.0
TKT-10094,8,6.41,0.0,59.0,252.0
TKT-10095,8,4.43,0.0,17.0,255.0
TKT-10096,4,1.61,0.0,48.0,122.0
TKT-10097,72,0.48,0.0,14.0,0.0
TKT-10098,24,44.73,1.0,96.0,0.0
TKT-10099,24,41.58,1.0,71.0,0.0
TKT-10100,8,27.18,1.0,48.0,227.0
TKT-10101,24,19.41,0.0,12.0,0.0
TKT-10102,72,13.82,0.0,46.0,0.0
TKT-10103,8,3.98,0.0,111.0,161.0
TKT-10104,24,1.11,0.0,105.0,0.0
TKT-10105,72,,,,0.0
TKT-10106,8,7.5,0.0,48.0,231.0
TKT-10107,24,5.21,0.0,75.0,0.0
TKT-10108,8,4.39,0.0,38.0,97.0
TKT-10109,72,6.29,0.0,41.0,0.0
TKT-10110,72,24.84,0.0,106.0,0.0
TKT-10111,8,7.39,0.0,31.0,285.0
TKT-10112,24,13.51,0.0,100.0,0.0
TKT-10113,8,2.46,0.0,33.0,244.0
TKT-10114,24,42.42,1.0,70.0,0.0
TKT-10115,72,67.14,0.0,88.0,0.0
TKT-10116,24,8.5,0.0,11.0,0.0
TKT-10117,72,26.37,0.0,51.0,0.0
TKT-10118,72,57.17,0.0,44.0,0.0
TKT-10119,72,37.11,0.0,43.0,0.0
TKT-10120,24,8.87,0.0,82.0,0.0
TKT-10121,72,45.26,0.0,76.0,0.0
TKT-10122,24,14.65,0.0,59.0,0.0
TKT-10123,72,62.4,0.0,83.0,0.0
TKT-10124,72,35.21,0.0,60.0,0.0
